name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type),review
Jalsa,Yes,Yes,4.1/5,775,800,Buffet,I would definitely recommend this place
Spice Elephant,Yes,No,4.1/5,787,800,Buffet,The food took too long to arrive
San Churro Cafe,Yes,No,3.8/5,918,800,Buffet,The restaurant decor is stunning
Addhuri Udupi Bhojana,No,No,3.7/5,88,300,Buffet,The service was subpar
Grand Village,No,No,3.8/5,166,600,Buffet,The food took too long to arrive
Timepass Dinner,Yes,No,3.8/5,286,600,Buffet,The waiter was very friendly
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,800,Buffet,Service was awful
Onesta,Yes,Yes,4.6/5,2556,600,Cafes,The food took too long to arrive
Penthouse Cafe,Yes,No,4.0/5,324,700,other,The desserts were amazing
Smacznego,Yes,No,4.2/5,504,550,Cafes,The service was subpar
Village Café,Yes,No,4.1/5,402,500,Cafes,The food took too long to arrive
Cafe Shuffle,Yes,Yes,4.2/5,150,600,Cafes,The desserts were amazing
The Coffee Shack,Yes,Yes,4.2/5,164,500,Cafes,The service was subpar
Caf-Eleven,No,No,4.0/5,424,450,Cafes,The food took too long to arrive
San Churro Cafe,Yes,No,3.8/5,918,800,Cafes,The food was great!
Cafe Vivacity,Yes,No,3.8/5,90,650,Cafes,The restaurant decor is stunning
Catch-up-ino,Yes,No,3.9/5,133,800,Cafes,The waiter was very friendly
Kirthi's Biryani,Yes,No,3.8/5,144,700,Cafes,The food took too long to arrive
T3H Cafe,No,No,3.9/5,93,300,Cafes,I would definitely recommend this place
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,400,Cafes,The desserts were amazing
The Vintage Cafe,Yes,No,3.0/5,62,400,Cafes,The service was subpar
Woodee Pizza,Yes,No,3.7/5,180,500,Cafes,The waiter was very friendly
Cafe Coffee Day,No,No,3.6/5,28,900,Cafes,The waiter was very friendly
My Tea House,Yes,No,3.6/5,62,600,Cafes,The service was subpar
Hide Out Cafe,No,No,3.7/5,31,300,Cafes,The waiter was very friendly
CAFE NOVA,No,No,3.2/5,11,600,Cafes,I would definitely recommend this place
Coffee Tindi,Yes,No,3.8/5,75,200,Cafes,The food was great!
Sea Green Cafe,No,No,3.3/5,4,500,Cafes,The food took too long to arrive
Cuppa,No,No,3.3/5,23,550,Cafes,The desserts were amazing
Srinathji's Cafe,No,No,3.8/5,148,550,Cafes,I loved the ambiance
Redberrys,Yes,No,4.0/5,219,600,Cafes,The desserts were amazing
Foodiction,Yes,No,2.8/5,506,500,other,The restaurant decor is stunning
Sweet Truth,Yes,No,3.9/5,35,500,Dining,The experience was disappointing
Ovenstory Pizza,Yes,No,3.9/5,172,750,Dining,Service was awful
Faasos,Yes,No,4.2/5,415,500,other,The restaurant decor is stunning
Behrouz Biryani,Yes,No,3.9/5,230,650,Dining,The food took too long to arrive
Fast And Fresh,Yes,No,2.8/5,91,400,Dining,I loved the ambiance
Szechuan Dragon,Yes,No,4.2/5,1647,600,Dining,The service was subpar
Empire Restaurant,Yes,No,4.4/5,4884,750,other,I loved the ambiance
